21;Antoine Griezmann;29;7;7;7;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRx0xTnPtbJgC63P37knb64r3Zg67UrxsioSm1qaW1-ZzEU9FpVhYU43GlMIQ&s
22;Arjen Robben;29;37;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5Kzf5TfyqfYh3PUHW_8-dlAiUBEZXhX8WkCdcYnfFPF7bwFaC9HGctfCfVRY&s
23;Arkadiusz Milik;34;NULL;NULL;63;63;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRx2qglM3_q8Sw93AV3r4uFXkv1bgOHyOP1j8nkE40QA7pwIYJqbY_vpoJau-c&s
24;Ashley Barnes;24;NULL;NULL;17;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8_DQZ9cNYB3oUxQ9645BOK_ncq09IH9Ov3vTWI9Z1-j1wrDnGloIaFeV61Nw&s
25;Ayoze Perez;25;NULL;NULL;49;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3c896tAc8aozXg9sbBMr7-t2hvQhogvoJ1EW808kX6Mp6Yiib2y4qI4Ge0-I&s
26;Benito Raman;29;NULL;NULL;78;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJT_7k_tkffixZybJzAkCzooxNuhve6g5JBAs8RTzeH-ZpCT6NGKkYTCFEzwM&s
27;Borja Iglesias;21;NULL;NULL;10;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1uAu5VOmzaJ14WpxKNofmlhB64HoUiQohpkeBpZgSgd073UiOcURkH_CG4g&s
28;Burak Yilmaz;29;NULL;NULL;NULL;NULL;52;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR70DO2T_glJ5hFzfg-UBs_hWsPqxo8UJlU_sXlhF9rtKhpI7wcaPw-R7e5pUc&s
29;Callum Wilson;28;NULL;NULL;64;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSITuX5rswd4NggJEczrJWvxdROf79uqAryFiq5-O7GRYrAtN0O5-wX7_iWgQ&s
30;Carlos Bacca;29;94;94;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM1Hoo-45Qr1OXxFMYwqHusW0buqDG8gwLug20PvDyZk6BXFWsGZuWmguVQOg&s
31;Carlos Fernandez;29;NULL;NULL;NULL;79;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1_rfhgqkOTb4g1r_Azcv2sxHIwxNft-xcY1v2_DEH8bLWhlHocGUVl5c3DTo&s
32;Cedric Bakambu;34;81;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQocJe_SV7rHDg3lkCRSwftXMcUTkD5Ldh7-Ays5GpKHDQAQC2EflvxsS3vg5A&s
