Column1;Column2;Column3
Cristhian Stuani;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB11oj4ddvGaEoF0KjuN9fFSIny_Zei9a1po2SRBZFJ7eKgpm8WemRK4_2fw&s
Cristiano Ronaldo;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmSHiCSf9YFXOXjuP6Gre4RRfTIN2MLWR7-sbigPLivzB3t7NXw5AT6Z3fIw&s
Cristiano Ronaldo;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPTjzKLruMen1BSmwJ2BRVXkQnzyh-RuJSeZ27VgtkNr4nbJrgxh3EGrpd8pk&s
Cyril Thereau;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSodGcbQD0qepErCDqfykzeRQLyRmF7cPKnVuNFVtIMli5DwdGmGahSziiEg&s
Daniel Didavi;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPo6QngZNTwIWPVJh-LT9vHV5g73Fqjxs3WneFaCfnVBw0-_f22Q7t-TmlGQ&s
Danny Ings;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTeSLJUqI16qWJPMqPFVqhecAy8zYsLO_h6tsihV-d9X9YKiDo79QHZXTTUBM&s
Dario Benedetto;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfFXkVq4PzNIsufSOYh4JW_fwCoqTvBVKF2hBe9cRHSjNN1Yt9iBfWgvayhQ&s
Davie Selke;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrlfpPVmlHDltN6ATUhYRE87FE4M8QYVyKQAPy4yvnI5IR_YEQjKG3L4PEDQ&s
Dele Alli;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyKlloBrkMKFwvRuwEW1EomHoJdjKRmXYiRcVOPMhBCAAaFvnFFTLiKwgEd94&s
Denis Bouanga;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtN0_BKW8NXYFiSE-BRo9FZiYj2Zk3KT8hxhtsBj2xp2YWSfkXZcIzJlWzeQ&s
Diego Costa;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKfrcRFJUbunAi-i2L1N7V6jp18sMySqxS8PS4e9ysQNDNV2kWv7nfAn8Ok88&s
Diego Falcinelli;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFFcept6HbBXZy_5H-61nwXOj64-O2UMCdX5kcmHcRLRBUWXCYgBFUCpvGSlw&s
Dimitri Payet;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXS2gxHb1AobysPsID9U6YSRqYBQeDkjLKILvkvDrnO73mdnl5fVIq_ssx5RM&s
Domenico Berardi;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgtE-OX3Qml8zJyoZSeGtViEL-jXDJZmIfHjp1hAIs2AAF5VN07oDat5ovYFM&s
Dominic Calvert-Lewin;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKXFQlk_r1VvI5KOdXx0h7l_Z5DKcr1Qu6Wh0srHstML5NcyPT8WzuqHh5bpg&s
Dries Mertens;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlP56D7i1gijxuE0VIUmkiTtMl-IsDhB1ebfB5NR-QSPHY9J0473FRiLHwyro&s
Duvan Zapata;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYO0Y69UaCFF4RW8i78cLfRY9ffZ54z6V5M5eFaGpPmh8vlTWqyuh_KwsJ7ZE&s
Eden Hazard;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThTkFIVMxoSi5cdfyfdiOWyExo9PgM7MIhX58N2OE3HepfRJ0w_LH-ctJjeTg&s
Jamie Vardy;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQl2uf8rrutMEYhpXMZyUE83MSKNP9DY2j6tzPrhIYvpcrf-7J5lkJfySsEyjg&s
Edin Dzeko;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLpe14q7aPsL0ljzL6eTppsttFz6PjEIC_zbMXCd9z468A70VxwzH95vscYw0&s
Edinson Cavani;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvJik2jGoAAPfk7M6tgXqSmL4Gv4sPKaCgeo1udoASfKBJ-8oPhMx7LSmz&s
Emil Forsberg;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvIz3yu8_GYcKr-1esVLMRLqyQn-VVawp_PANynd6HlhB9wbqGA6_8WGm4JA&s
Emiliano Sala;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShdzNNfBd10r1oiRLsk1jbGXykzWt1ALnC9JC076tioUlGt93_6imaMv49pSQ&s
Erling Haaland;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1ZPad9VVeQI9aXbt9wCug8TUq-_V08x78LgAlonM8kj-Sg5IndWm2DrbDSMI&s
Fabio Quagliarella;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7BuGOzkNVh4aA7ByLPF_0Uc6zMMG8EQyCs5tNnnikAZ-WTWgCU-Gtrt_7FQ&s
Falcao;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZgOz0AXxkN4tBeFh-l7WtKPRNoZ9-AcM6rRse2NAamIpcddBHCVJo-T0VHw&s
Fernando Llorente;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSv5xhzcNkTn3GmeSEHK07-e-wtQ2hUXU5zAyqr6_2UYL36_Dop1z3ZuYUBTA&s
Fin Bartels;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMoWXGP7IyNFc-6BeSPy7Ed__2BuThCP01sqbtz-5vZtiPzz480KpbgDqogTA&s
Florian Niederlechner;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhc2bBYf_s-OuLBmiiO9-pVPuxbqyGDJczHCM17U02ilYcgQ-oM3P1mOtdsw&s
Florian Thauvin;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFOUJTYgLsXcOQ-79HUTEt-XgB16MqUZQyy7BOosiXz7WC0dNyWivsZcCXgA&s
Florin Andone;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOUyVczbggUk_oe3-Y5xnJ5ydx-YHLpUiES3BAcD_1oLQMxkYHkIshg5x7bA&s
Francesco Caputo;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7eRl2CtAMvykivz6AXEF0nnOMVJlCl3d3TAj2jipbN2AwhcKYcxVEYkzLkQ&s
Francois Kamano;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2-KLQf359UYvLbly6EbUF4rPYc5gfRyQwxZ4ptM1M3-sI9YZi8-Ia94cg81M&s
Gabriel Jesus;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSGN-wTfk6zh6DBmnUK1baboB2-pHo-6tnzJSNwU1ZQeMhTWXEiKsbxRfPg7g&s
Gael Kakuta;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjSYjXL8HwyaC9UJQsVsQQuTCZBtwVK3jYksAhpHIvD7xP4crqf27XimMPtw&s
Gaetan Laborde;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZW3dQesL79W6SlVVg6BE6j9RZpSvFODjP7QFVu3_Gr_fkLN6sUxPht5Bjsw&s
Gareth Bale;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTZl6Fpy_lRMqfVSl_h4TNkqAc0CA3lpO7Xo7XYfuDzzjvgtE2k142xNg3ak0&s
Gerard Moreno;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8lgJlX9htcfBp2dJUyJa83_EOiN8gayPKpTc65laixRiDNqbP3xy6tLbTUQ&s
Gervinho;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwsjaBYNPE8oPRTVI_jL9GdCfo2zECF2qiv1o7D0lMWnr4jVdKLb7UYoLj0ZY&s
